v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
31138,-77.2777751332872,39.136105464247,joint,69000;230000,,,,,SRID=4326;POINT(-77.2777751332872 39.136105464247)
27255,-100.894799912961,21.8315497962901,joint,230000,60,,,,SRID=4326;POINT(-100.894799912961 21.8315497962901)
12236,-121.967512716079,37.7821335447605,sub_station,,,,,,SRID=4326;POINT(-121.967512716079 37.7821335447605)
3718,-70.5689896903233,46.9715810665535,substation,,,,,,SRID=4326;POINT(-70.5689896903233 46.9715810665535)
12219,-95.9616044223361,39.6533214887613,sub_station,,,,,,SRID=4326;POINT(-95.9616044223361 39.6533214887613)
28912,-89.6716133402619,38.2781179159696,merge,,,Prairie State Station;Prairie State Energy Campus,,,SRID=4326;POINT(-89.6716133402619 38.2781179159696)
9120,-83.6987948336014,33.8379123885762,sub_station,,,,,,SRID=4326;POINT(-83.6987948336014 33.8379123885762)
26990,-81.295531317206,39.3528662744693,joint,,60,,,,SRID=4326;POINT(-81.295531317206 39.3528662744693)
12233,-74.7304563569731,44.9871460898522,substation,,,,,,SRID=4326;POINT(-74.7304563569731 44.9871460898522)
31019,-89.3282098710206,31.2161595396579,joint,230000,60,,,,SRID=4326;POINT(-89.3282098710206 31.2161595396579)
22150,-79.0097316051634,43.0985856697199,joint,,60,,,,SRID=4326;POINT(-79.0097316051634 43.0985856697199)
18338,-90.9026189204546,34.9941999620019,joint,,,,,,SRID=4326;POINT(-90.9026189204546 34.9941999620019)
9040,-88.4313624264526,44.7813821726326,sub_station,,,,,,SRID=4326;POINT(-88.4313624264526 44.7813821726326)
6325,-86.9967736645915,40.4431596492222,sub_station,,,,,,SRID=4326;POINT(-86.9967736645915 40.4431596492222)
399,-117.678574660555,33.9985736580775,substation,220000;66000;12000,,Chino Substation,Southern California Edison,Chino,SRID=4326;POINT(-117.678574660555 33.9985736580775)
23969,-91.0249458364597,33.2832476145562,joint,230000,60,Gerald Andrus - Indianola 230kV,Entergy Mississippi,,SRID=4326;POINT(-91.0249458364597 33.2832476145562)
15088,-88.6577726565148,37.7393606850206,substation,,,,,,SRID=4326;POINT(-88.6577726565148 37.7393606850206)
6154,-78.6000340973398,36.8095678167673,sub_station,,,,,,SRID=4326;POINT(-78.6000340973398 36.8095678167673)
8460,-84.9795880041166,32.615224941132,sub_station,,,,,,SRID=4326;POINT(-84.9795880041166 32.615224941132)
12417,-77.1105645745829,35.1366698459272,sub_station,,,,,,SRID=4326;POINT(-77.1105645745829 35.1366698459272)
23388,-92.217410867103,46.6684980025694,joint,115000;345000;115000;345000,60,,,,SRID=4326;POINT(-92.217410867103 46.6684980025694)
2161,-76.0752723611605,36.8383587691222,sub_station,,,Lynnhaven Substation,,,SRID=4326;POINT(-76.0752723611605 36.8383587691222)
10640,-75.3698155481988,40.6745016230679,sub_station,,,,,,SRID=4326;POINT(-75.3698155481988 40.6745016230679)
2419,-80.1700889161744,37.2370756469898,station,,,Matt Funk Substation,AEP,,SRID=4326;POINT(-80.1700889161744 37.2370756469898)
29701,-114.737497314428,36.0131544679032,joint,,,,,,SRID=4326;POINT(-114.737497314428 36.0131544679032)
20110,-71.0138759499039,42.5078908699219,joint,,,,,,SRID=4326;POINT(-71.0138759499039 42.5078908699219)
23719,-76.1559328881898,41.0916849946719,joint,230000,60,,,,SRID=4326;POINT(-76.1559328881898 41.0916849946719)
7860,-119.092695509042,35.3772641372065,sub_station,,,,,,SRID=4326;POINT(-119.092695509042 35.3772641372065)
23692,-104.433107869574,33.4177547796444,joint,230000;115000;230000;115000,60,,,,SRID=4326;POINT(-104.433107869574 33.4177547796444)
2681,-81.4399954658945,41.6721569208918,substation,,,Eastlake Station,,,SRID=4326;POINT(-81.4399954658945 41.6721569208918)
23686,-122.764858899496,38.7441894073393,joint,230000,60,,,,SRID=4326;POINT(-122.764858899496 38.7441894073393)
8533,-95.3073559289009,32.2796638929164,sub_station,,,,,,SRID=4326;POINT(-95.3073559289009 32.2796638929164)
15851,-86.4979932909342,30.4905997943218,substation,,,,,,SRID=4326;POINT(-86.4979932909342 30.4905997943218)
26826,-105.13695657964,38.6999672134576,joint,,,,,,SRID=4326;POINT(-105.13695657964 38.6999672134576)
239,-90.1786864438779,38.6003274071942,substation,,,Cahokia Substation,,,SRID=4326;POINT(-90.1786864438779 38.6003274071942)
13062,-93.1931575930952,36.6240284449393,substation,,,,,,SRID=4326;POINT(-93.1931575930952 36.6240284449393)
8073,-115.888976017979,41.5729917701054,station,,,,,,SRID=4326;POINT(-115.888976017979 41.5729917701054)
21608,-105.04350412198,40.552371382818,joint,115000;230000;115000;230000,,,PRPA,,SRID=4326;POINT(-105.04350412198 40.552371382818)
12201,-80.3703054821828,25.792996273631,substation,230000,60,,FPL,,SRID=4326;POINT(-80.3703054821828 25.792996273631)
3038,-75.3099958775265,40.6461081376716,sub_station,,,,,,SRID=4326;POINT(-75.3099958775265 40.6461081376716)
4289,-96.9159390168058,35.4226529986249,sub_station,,,,,,SRID=4326;POINT(-96.9159390168058 35.4226529986249)
16499,-103.317058182557,20.634187877156,substation,,,,,,SRID=4326;POINT(-103.317058182557 20.634187877156)
31265,-68.9005755462572,48.2499999942565,joint,,,,,,SRID=4326;POINT(-68.9005755462572 48.2499999942565)
29603,-74.6613887055346,40.1516126233363,merge,,,,,,SRID=4326;POINT(-74.6613887055346 40.1516126233363)
15683,-97.2790553492885,32.3717782645506,substation,,,,,,SRID=4326;POINT(-97.2790553492885 32.3717782645506)
13288,-81.1677289079174,46.4821544537523,sub_station,,,,,,SRID=4326;POINT(-81.1677289079174 46.4821544537523)
29020,-79.7342660318374,34.9557789942755,merge,,,,,,SRID=4326;POINT(-79.7342660318374 34.9557789942755)
9481,-75.6032753788416,39.6965629060916,sub_station,,,,,,SRID=4326;POINT(-75.6032753788416 39.6965629060916)
4413,-107.39169870565,24.8621924278581,station,,,,,,SRID=4326;POINT(-107.39169870565 24.8621924278581)
9977,-81.0540818149092,33.9628179498642,station,,,,,,SRID=4326;POINT(-81.0540818149092 33.9628179498642)
22714,-111.005484681454,39.1799150942054,joint,345000,60,,,,SRID=4326;POINT(-111.005484681454 39.1799150942054)
6674,-78.0394267666376,34.3240355299453,substation,,,,,,SRID=4326;POINT(-78.0394267666376 34.3240355299453)
307,-121.268015162221,38.7454472133549,sub_station,,,,Roseville Electric,,SRID=4326;POINT(-121.268015162221 38.7454472133549)
9964,-80.9208171813534,33.8886855090426,station,,,,,,SRID=4326;POINT(-80.9208171813534 33.8886855090426)
2140,-78.9328745478392,38.4112477971142,sub_station,,,,,,SRID=4326;POINT(-78.9328745478392 38.4112477971142)
9449,-79.9604174675328,39.7278428994851,sub_station,,,,,,SRID=4326;POINT(-79.9604174675328 39.7278428994851)
4104,-97.5416351219745,18.8550120016011,sub_station,,,,,,SRID=4326;POINT(-97.5416351219745 18.8550120016011)
8847,-83.4851168203936,31.4756555878712,sub_station,,,,,,SRID=4326;POINT(-83.4851168203936 31.4756555878712)
25564,-93.273661925764,36.5233991840764,joint,,,,,,SRID=4326;POINT(-93.273661925764 36.5233991840764)
29009,-80.5893788179669,33.1941662962202,merge,,,,,,SRID=4326;POINT(-80.5893788179669 33.1941662962202)
11590,-82.996647120212,42.4739816976425,station,,,,,,SRID=4326;POINT(-82.996647120212 42.4739816976425)
